# multimodal LLM TEST · model=sonnet(vision) · display-image only · 920 posts · 917 with image
Post_ID;Post_Format;image_ok;MANUAL_Empathy;MANUAL_Threat;MANUAL_Efficacy;MANUAL_Collective_ID;MANUAL_Normative;MANUAL_Moral;MANUAL_Economic;MANUAL_Scientific;MANUAL_Youth_Addressed;MANUAL_Interactivity;MANUAL_Emotional_Valence;MANUAL_Story_Structure;MANUAL_Primary_CTA;MANUAL_Primary_Topic;MANUAL_Language;MANUAL_Youth_Style;MANUAL_Protagonist;MANUAL_Onscreen_Text;MANUAL_Data_Visual
DVskknKErzC;Image;yes;0;0;1;0;0;0;0;1;0;0;Neutral;Solution;None;Research;English;0;1;0;0
DXJwT-bjkEW;Carousel;yes;0;0;0;0;0;0;0;1;0;0;Hope;None;None;Research;English;0;1;0;0
DWQnsyXjpjb;Image;yes;0;0;0;0;0;0;0;0;0;0;Neutral;None;None;Wildlife;English;0;1;0;0
DWws0QXjeph;Image;yes;0;0;1;0;0;0;0;1;1;0;Hope;Solution;Learn;Education;English;0;1;1;0
DVX-MaIDs-A;Image;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DU8LQZCDHZD;Carousel;yes;0;0;1;1;0;0;0;0;0;0;Hope;Solution;None;Community;English;0;0;0;0
DWgEfuPDuiu;Image;yes;0;0;1;0;0;0;0;1;0;0;Neutral;Solution;None;Research;English;0;0;0;0
DW4bUExGWiB;Image;yes;0;1;1;1;0;1;0;0;0;0;Mixed;Problem-Solution;None;Wildlife;English;0;1;0;0
DXMoBOzDnXM;Carousel;yes;0;1;1;1;0;0;0;1;0;0;Hope;Problem-Solution;Learn;Research;English;0;1;0;0
DXWs260ldFZ;Carousel;yes;0;0;0;1;0;0;0;1;0;0;Neutral;None;Learn;Research;English;0;0;0;0
DWrjZFUDvNu;Image;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DWmZr1-Ewni;Image;yes;0;0;0;0;0;0;0;1;0;0;Neutral;None;None;Wildlife;English;0;1;0;0
DTfkmjZiIqB;Image;yes;0;0;0;0;0;0;0;0;0;1;Neutral;None;Share;Education;English;0;0;1;0
DTxc-x1iMoN;Carousel;yes;0;0;1;1;0;0;0;0;0;0;Hope;None;Learn;Community;English;0;0;0;0
DW4hFLgDm7x;Carousel;yes;0;0;1;0;0;0;0;0;0;0;Neutral;Problem-Solution;None;Anti-poaching;English;0;1;0;0
DRe7J7VjG1W;Carousel;yes;0;0;0;1;0;0;0;0;0;0;Hope;Solution;None;Community;English;0;0;1;0
DRb4AbSDIld;Carousel;yes;0;0;1;1;0;0;0;0;0;0;Hope;None;None;Community;English;0;0;0;0
DXHaZrliNMl;Image;yes;0;0;1;0;0;1;1;1;0;0;Neutral;None;None;Policy;English;0;1;1;0
DXCNPQDCMkN;Image;yes;0;0;1;0;0;0;1;0;0;0;Hope;Solution;None;Ecotourism;English;0;0;1;0
DXMfT__iL4g;Carousel;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Community;English;0;1;0;0
DXHih5GiFjt;Image;yes;0;0;0;0;0;0;0;0;0;0;Neutral;None;None;;English;;;;
DXCM5WvCK1G;Carousel;yes;0;0;1;0;0;1;0;0;1;0;Hope;Solution;None;Education;English;0;1;0;0
DSJ-pEaCZpG;Image;yes;0;0;1;1;0;0;1;0;0;0;Hope;Solution;None;Wildlife;English;0;1;0;0
DXOusaviOJN;Carousel;yes;0;1;0;0;0;0;1;0;0;0;Neutral;Problem-Solution;None;HWC;English;0;1;0;0
DSRtCbRj9Wv;Image;yes;0;0;1;0;0;1;0;0;0;0;Hope;Problem-Solution;None;Anti-poaching;English;0;1;0;0
DSJ-qKtlVzK;Video;yes;0;0;1;0;0;0;1;0;0;0;Hope;Solution;Donate;Fundraising;English;0;1;0;0
DXcTP6pCFgr;Video;yes;0;0;1;1;0;0;0;0;0;0;Hope;Problem-Solution;None;Climate;English;0;1;0;0
DSetnWpEdUz;Image;yes;0;0;1;0;0;1;1;0;0;0;Hope;Solution;None;Wildlife;English;0;0;1;0
DXLzm_7CPil;Carousel;yes;0;0;1;1;0;1;1;0;0;0;Hope;Solution;None;Community;English;0;0;0;0
DXb9mmtiBmy;Carousel;yes;0;0;1;0;0;0;1;0;0;0;Hope;Problem-Solution;None;Policy;English;0;1;1;0
DXPSz7wCFzY;Video;yes;0;0;0;1;0;1;0;0;1;0;Hope;Solution;None;Education;English;0;1;0;0
DRPdL0MjNdg;Carousel;yes;0;0;0;0;0;0;0;0;1;0;Hope;None;Event;Wildlife;English;0;1;1;0
DXfEn4XjoXB;Image;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;Learn;Wildlife;English;0;1;1;0
DWI5Bgrijl6;Image;yes;0;0;0;1;0;0;0;0;0;0;Hope;None;None;Community;English;0;0;1;0
DQrx5BLD64o;Image;yes;0;0;1;1;0;0;0;1;0;0;Hope;Solution;None;Wildlife;English;0;0;0;0
DWoX4BUCpCZ;Carousel;yes;0;1;0;0;0;0;0;0;0;0;Hope;None;Learn;Wildlife;English;0;1;0;0
DWlbimAChbY;Image;yes;0;0;0;1;0;1;0;0;0;0;Hope;None;Event;Community;Mixed;0;0;1;0
DWLzna6im7B;Image;yes;0;0;0;0;0;1;0;0;0;0;Hope;Solution;None;Climate;English;0;0;1;0
DRJmoBPDER3;Video;yes;0;0;1;1;0;0;0;0;0;0;Hope;Solution;Learn;Community;English;0;1;0;0
DWYsdYrCvaE;Image;yes;0;0;0;1;0;0;0;0;0;0;Hope;None;None;Community;English;1;0;1;0
DWOYeqICgEF;Image;yes;0;0;0;1;0;0;0;0;0;0;Neutral;Problem;None;Climate;English;0;0;1;0
DWV5l8TCp7a;Image;yes;0;1;1;1;0;1;0;0;0;0;Mixed;Problem-Solution;None;Climate;English;1;0;1;0
DQmoSzej7Cs;Carousel;yes;1;0;1;1;0;0;0;0;0;0;Hope;Problem-Solution;None;Wildlife;English;0;1;0;0
DRKRMspjOJr;Carousel;yes;0;0;1;1;0;0;0;0;0;0;Hope;Solution;None;Community;English;0;0;0;0
DQmVJK-ji6U;Video;yes;0;0;0;0;0;0;0;1;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DRPZSnICLAt;Carousel;yes;0;0;1;1;0;0;0;0;0;0;Hope;Problem-Solution;None;Community;English;0;0;0;0
DXJOpNMFqRt;Carousel;yes;0;0;1;1;0;0;0;0;0;0;Hope;Problem-Solution;None;Community;English;0;0;0;0
DXwfTUBjkcO;Carousel;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;Event;Wildlife;English;0;1;0;0
DQ8u1Tdjfxy;Video;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DW1KVyzCmTL;Carousel;yes;0;0;0;1;0;0;0;0;0;0;Neutral;None;Learn;Community;English;0;0;1;0
DQvufAaFCLQ;Video;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DROvNLoDNmc;Carousel;yes;0;0;1;1;0;1;1;1;0;0;Hope;Problem-Solution;None;Community;English;0;0;0;0
DQoIHPqDDxC;Video;yes;0;0;1;0;0;0;0;0;0;0;Hope;Solution;None;Community;English;0;0;0;0
DW9k8REk6pa;Video;yes;1;0;0;0;0;0;0;0;0;0;Hope;None;Learn;Wildlife;English;0;1;0;0
DW-3Ni3gdfG;Carousel;yes;0;0;1;1;0;0;0;0;0;0;Hope;Solution;None;Community;English;0;1;0;0
DRC9C5yCNUK;Image;yes;0;0;1;0;0;0;0;0;0;0;Hope;Solution;None;Wildlife;English;0;1;0;0
DRNXF-BgS9b;Video;yes;1;1;1;1;0;0;0;1;0;0;Mixed;Problem-Solution;None;Anti-poaching;English;0;1;0;0
DXxKLyiGcYl;Carousel;yes;1;0;1;1;0;0;0;1;0;0;Hope;Solution;Learn;HWC;English;0;1;0;0
DXGjtBPFtcW;Carousel;yes;0;1;1;1;0;1;1;0;0;0;Hope;Problem-Solution;None;Community;English;0;1;0;0
DXEY-ltlqzA;Image;yes;1;0;1;1;0;0;0;0;0;0;Hope;Problem-Solution;Donate;Education;English;0;1;1;0
DWn1ukqCqP6;Carousel;yes;0;0;0;1;0;0;0;0;1;0;Hope;None;None;Education;English;1;0;1;0
DXO2wrHFpDS;Carousel;yes;1;0;0;1;0;1;0;0;1;0;Mixed;None;None;Community;English;0;0;0;0
DXbYa58lhWu;Carousel;yes;1;1;1;1;0;0;0;1;0;0;Hope;Problem-Solution;None;Wildlife;English;0;1;0;0
DXWIgNFloaI;Carousel;yes;0;0;1;0;0;0;0;0;0;0;Hope;Solution;None;Wildlife;English;0;1;0;0
DXMHXGjlv3g;Carousel;yes;1;0;1;0;0;0;0;0;0;0;Hope;Problem-Solution;None;Community;English;0;0;0;0
DVwU7pzDM_m;Image;yes;0;0;1;0;0;0;0;1;0;0;Hope;Solution;None;Wildlife;English;0;1;0;0
DV6oG8iDJKi;Image;yes;0;0;0;1;0;0;0;1;0;0;Hope;Solution;None;Research;English;;;;
DVomlnGjA8A;Image;yes;0;0;0;0;0;0;0;1;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DWHgHlgj4h3;Image;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;0;0;0
DWCWeXDDvpY;Image;yes;0;0;1;1;0;0;0;1;0;0;Hope;Solution;Donate;Research;English;0;1;0;0
DWUYKewCPZI;Carousel;yes;0;1;1;1;0;0;0;1;0;0;Hope;Problem-Solution;Learn;Wildlife;English;0;0;0;0
DV1ejcrjD4w;Image;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DWZhpaAj9mI;Image;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DWMpye-jTwn;Image;yes;0;0;1;0;0;0;0;0;1;0;Hope;Solution;None;Education;English;0;1;0;0
DR2Pq0aDO16;Video;yes;0;0;1;0;0;0;1;1;0;0;Neutral;Problem-Solution;None;Research;English;0;1;0;0
DSpvIk3DMXZ;Video;yes;0;0;1;1;0;0;0;1;0;0;Hope;None;None;Research;English;0;1;0;0
DXe7m2rEo4m;Carousel;yes;0;0;0;0;0;0;1;0;0;0;Hope;None;Event;Ecotourism;English;0;1;0;0
DXr5rGXmV5m;Carousel;yes;0;0;1;1;0;0;0;0;0;0;Hope;None;Event;Fundraising;English;0;1;1;0
DWqKBa7j5v4;Image;yes;0;0;0;1;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DW3oE3qFjbF;Carousel;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Ecotourism;English;0;1;0;0
DWjZfpulh0r;Carousel;yes;0;1;1;0;0;1;0;1;0;0;Mixed;Problem-Solution;Donate;Wildlife;English;0;1;1;0
DSVJ6XUDP5G;Carousel;yes;0;0;1;0;0;0;0;1;0;0;Neutral;Problem-Solution;None;Research;English;0;1;0;0
DWZose4CUA7;Video;yes;0;0;1;0;0;0;0;0;0;0;Hope;Solution;Event;Wildlife;English;0;1;1;0
DWs8j4KATCm;Carousel;yes;0;0;0;0;0;0;0;1;0;0;Hope;Problem-Solution;None;Climate;English;0;0;0;0
DS2oMpeDIjB;Video;yes;0;0;0;0;0;0;0;1;0;0;Neutral;None;None;Research;English;0;1;0;0
DVeTWHdlzyU;Image;yes;0;0;1;0;0;0;0;1;0;0;Hope;Problem-Solution;None;Wildlife;English;0;1;0;0
DTGPqHUjOPo;Video;yes;0;0;1;0;0;0;1;1;0;0;Hope;Solution;None;Research;English;0;1;0;0
DW6aWEHllsp;Image;yes;0;0;0;1;0;1;0;0;0;0;Hope;None;None;Community;English;0;0;1;0
DU-bZq3inWr;Carousel;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;Learn;Education;English;0;1;0;0
DUtYO6nDaS4;Image;yes;1;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DWn5r-flixF;Carousel;yes;1;1;1;1;0;0;0;0;0;0;Hope;Problem-Solution;None;Wildlife;English;0;1;0;0
DWa0GEIgUev;Image;yes;0;0;0;0;0;0;1;0;0;0;Hope;None;None;Community;English;0;0;1;0
DXpWrXrDEJt;Video;yes;1;1;1;0;0;0;0;0;0;0;Mixed;Problem-Solution;Learn;Wildlife;English;0;1;0;0
DW5xIWgllJY;Carousel;yes;1;1;1;0;0;1;0;0;0;0;Mixed;Problem-Solution;Donate;Community;English;0;1;0;0
DU_ZzNqDJmc;Image;yes;0;0;0;0;0;0;0;0;0;0;Neutral;None;None;Wildlife;English;0;1;0;0
DVMRx8yCMbB;Image;yes;0;0;1;1;0;0;0;1;0;0;Hope;Problem-Solution;None;Research;English;0;1;0;0
DWrjZUMCXX9;Video;yes;0;0;0;0;0;0;0;0;0;0;Neutral;None;Learn;Wildlife;English;0;1;0;0
DVRbYULjY8q;Image;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DVjc9hvjaPy;Image;yes;0;0;0;0;0;0;0;0;0;0;Neutral;None;None;Wildlife;English;0;1;0;0
DXZhne-jWEN;Carousel;yes;1;1;1;0;0;0;0;0;0;0;Hope;Problem-Solution;Learn;Wildlife;English;0;1;0;0
DVa5zYsCm_O;Image;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;0;0;0
DSAiXtljEJ3;Video;yes;0;0;1;0;0;0;0;1;0;0;Neutral;None;None;Research;English;0;1;0;0
DVWk_9XDbv8;Carousel;yes;0;0;1;1;0;0;0;0;0;0;Hope;Solution;None;Education;English;0;0;0;0
DTQXoYHDNgM;Video;yes;0;0;0;1;0;0;0;1;0;0;Neutral;None;None;Research;English;0;1;0;0
DVEjcvgj1xY;Image;yes;0;0;1;0;0;0;0;1;0;0;Hope;Solution;Learn;Research;English;0;1;0;0
DU6QOvFk9xX;Carousel;yes;0;0;1;1;0;0;0;1;0;0;Hope;Solution;None;Education;English;0;0;0;0
DXuRr8pGfJ_;Carousel;yes;0;0;1;1;0;0;0;0;0;0;Hope;Solution;Learn;Community;English;0;1;1;0
DViTTw0CueE;Carousel;yes;0;0;0;1;0;0;0;0;0;0;Hope;None;Learn;Wildlife;English;0;1;1;0
DXca0cil6Mk;Video;yes;0;1;1;0;0;0;0;0;0;0;Hope;Solution;Learn;Wildlife;English;0;1;0;0
DXVdVqvGBrZ;Carousel;yes;1;0;1;0;0;0;0;0;0;0;Hope;Solution;Learn;HWC;English;0;1;0;0
DSFsknpDGEy;Video;yes;0;0;1;0;0;0;0;1;0;0;Neutral;Solution;None;Research;English;0;0;1;0
DVtL7Z1Cgjg;Image;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;Event;Education;English;0;0;1;0
DVtRIKfigl2;Carousel;yes;0;0;0;1;0;0;0;0;1;0;Hope;None;Learn;Community;English;0;0;0;0
DWnyV1Wls37;Carousel;yes;1;0;1;0;0;1;0;0;0;0;Hope;Solution;None;Community;English;0;1;0;0
DWcGfdLjB95;Carousel;yes;1;0;1;1;0;1;0;0;0;0;Hope;Solution;None;Community;English;0;1;0;0
DVgLvVmipRs;Image;yes;0;0;0;1;0;0;0;0;0;0;Hope;None;Event;Community;English;0;0;1;0
DV1elZ8D0VV;Video;yes;0;0;1;0;0;0;0;0;0;0;Hope;None;Learn;Anti-poaching;English;0;1;1;0
DT-JQYiimAB;Carousel;yes;0;0;1;0;0;0;0;1;0;0;Hope;None;None;Education;English;0;0;1;0
DUX_wPFCgIs;Carousel;yes;0;0;0;1;0;1;0;0;0;0;Hope;Solution;None;Wildlife;English;0;1;0;0
DT98qQrCBCZ;Image;yes;0;0;0;1;0;0;0;0;0;0;Hope;None;Event;Education;English;0;0;1;0
DWMpxKqjnAZ;Carousel;yes;0;1;1;0;0;0;0;0;0;0;Hope;Problem-Solution;None;Community;English;;;;
DUQylVEiPWw;Carousel;yes;0;0;0;0;0;0;0;0;0;0;Hope;Solution;Event;Education;English;0;1;0;0
DV9M4tnAc73;Carousel;yes;0;0;1;1;0;1;0;0;0;0;Hope;Problem-Solution;None;Community;English;0;1;0;0
DV4Db60iEI4;Carousel;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Community;English;0;0;0;0
DUELhjJjd7D;Carousel;yes;0;0;1;1;0;1;0;0;0;0;Hope;Solution;None;Wildlife;English;0;0;0;0
DTugAKuirZm;Image;yes;0;1;1;1;0;0;0;1;0;0;Mixed;Problem-Solution;Share;Wildlife;English;;;;
DV6hPrUj1sO;Image;yes;0;0;1;1;0;0;0;0;1;0;Hope;Solution;None;Education;English;0;1;0;0
DUOesl5jXwq;Image;yes;0;0;0;1;0;0;0;1;0;0;Hope;None;Learn;Wildlife;English;0;1;0;0
DT8dIW2iCC3;Image;yes;0;0;1;1;0;0;0;1;0;0;Hope;Solution;Learn;Wildlife;English;0;1;0;0
DUbWq9sk2fR;Image;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DUWNHNmDsUE;Image;yes;0;0;1;0;0;0;0;1;0;0;Hope;Solution;Learn;Research;English;0;1;1;0
DTqbkOCjdCj;Image;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;Event;Wildlife;English;0;1;0;0
DT3TiZ9DdmI;Image;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DTyJ9OpgXzm;Image;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;1;0
DWE0qc5Evit;Video;yes;1;0;0;1;0;0;0;0;0;0;Hope;None;Event;Community;English;0;1;0;0
DU5v6CKCn_O;Carousel;yes;0;0;0;0;0;0;0;0;0;0;Neutral;None;Learn;Community;English;0;0;0;0
DWHgK_VkmUt;Video;yes;1;1;1;0;0;1;0;0;0;0;Hope;Problem-Solution;Learn;Wildlife;English;0;1;0;0
DWI5bFigUef;Carousel;yes;0;0;0;1;0;1;0;0;0;0;Hope;None;None;Community;English;0;0;0;0
DUoOpqdjEUM;Image;yes;0;0;0;0;0;0;0;1;0;0;Hope;Solution;Learn;Research;English;0;1;0;0
DWCWecbj-kV;Carousel;yes;0;0;1;0;0;0;0;0;0;0;Hope;Solution;None;Community;English;;;;
DUggSmvjmH0;Carousel;yes;0;0;1;0;0;0;0;1;0;0;Hope;Solution;None;Research;English;0;1;0;0
DV_xrwzjCSH;Image;yes;0;0;1;1;0;0;0;0;1;0;Hope;Solution;None;Education;English;0;1;0;0
DV1RBwxDDEe;Video;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;Event;Ecotourism;English;0;1;0;0
DW4VErZEjmD;Carousel;yes;0;0;1;1;0;0;0;0;0;0;Hope;Problem-Solution;None;Community;English;0;1;0;0
DXFDkC8EZUF;Video;yes;0;0;1;1;0;0;0;0;0;0;Hope;Solution;Event;Wildlife;English;1;0;1;0
DXB-DjOjmZ2;Video;yes;0;0;1;0;0;0;1;0;0;0;Hope;Problem-Solution;Learn;HWC;English;0;1;0;0
DXMiL7jjXgk;Video;yes;1;0;1;0;0;0;1;1;0;0;Hope;Problem-Solution;None;HWC;English;0;1;0;0
DRFUHr8DPls;Video;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;Learn;Wildlife;English;0;1;0;0
DQuKrLZDCfh;Carousel;yes;1;1;1;0;0;1;0;1;0;0;Hope;Problem-Solution;None;Wildlife;English;0;1;0;0
DRkL8DrjBZz;Video;yes;0;0;0;1;0;1;0;1;0;0;Hope;Solution;None;Wildlife;English;0;0;1;0
DW69EwJESBc;Video;yes;1;1;1;0;0;0;0;0;0;0;Mixed;Problem-Solution;Donate;Wildlife;English;0;1;0;0
DW2bF8jjNJE;Video;yes;1;1;1;0;0;1;0;1;0;0;Mixed;Problem-Solution;Learn;Wildlife;English;0;1;1;0
DVvyBh7Csmj;Carousel;yes;0;0;1;1;0;0;0;0;1;0;Hope;Solution;Learn;Education;English;0;0;0;0
DWBU3t0ilGW;Image;yes;0;0;1;0;0;1;0;0;0;0;Hope;Problem-Solution;None;Climate;English;0;0;1;0
DWD7q9hijMg;Carousel;yes;0;0;0;0;0;0;0;0;0;0;Neutral;None;None;Education;English;0;0;0;0
DVyHG_Jijrz;Carousel;yes;0;0;0;1;0;0;0;0;1;0;Hope;None;Learn;Community;English;;;;
DTibOjAjHCe;Video;yes;1;0;0;0;0;0;0;1;0;0;Hope;None;None;Research;English;0;1;0;0
DV0so-eCkJk;Carousel;yes;0;0;1;1;1;0;0;0;1;0;Hope;Solution;Learn;Education;English;1;1;1;0
DRhp-g_DJMg;Video;yes;0;0;1;0;0;0;0;1;0;0;Hope;Solution;None;Research;English;0;1;0;0
DUJVGkOjxSn;Image;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Wildlife;English;0;1;0;0
DVimfKujWUT;Carousel;yes;0;0;0;1;0;0;0;0;0;0;Hope;Solution;Volunteer;Ecotourism;English;0;0;1;0
DQ4iGjBjLUz;Image;yes;0;0;1;0;0;0;0;0;0;0;Neutral;Problem-Solution;Learn;Wildlife;English;;;;
DRP35sUjLR6;Image;yes;0;0;0;0;0;0;0;1;0;0;Hope;None;Learn;Research;English;;;;
DQ87jsuDEw5;Carousel;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;None;Education;English;0;0;1;0
DWURr-cDbzB;Image;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;Event;Ecotourism;English;0;0;1;0
DTamIGPCnjn;Carousel;yes;0;0;0;0;0;0;1;0;0;0;Neutral;None;None;Community;English;0;0;1;0
DVen7U1DDSX;Carousel;yes;1;1;1;1;0;0;0;0;0;0;Hope;Problem-Solution;None;Community;English;0;1;0;0
DVl64BGCPgg;Carousel;yes;0;0;0;0;0;0;0;0;0;0;Hope;None;Volunteer;Ecotourism;English;0;1;0;0
DWW44aTDSt2;Carousel;yes;0;0;1;1;0;0;0;0;0;0;Hope;Solution;None;Community;English;0;1;0;0
DWouAPSEVB9;Video;yes;0;1;1;0;0;0;0;1;0;0;Mixed;Problem-Solution;Learn;Community;English;0;1;0;0
DWl7H61DbCB;Video;yes;0;1;1;0;0;0;0;1;0;0;Mixed;Problem-Solution;Learn;Wildlife;English;1;1;1;0
DRj_EEGDNma;Carousel;yes;0;0;0;1;0;1;0;0;0;0;Hope;Solution;None;Education;English;0;1;0;0
DWhFSe_Epwk;Carousel;yes;1;0;0;0;0;0;0;0;0;0;Hope;Problem-Solution;Learn;Wildlife;English;0;1;0;0
DV1dpcLjf4m;Video;yes;1;0;1;1;1;0;1;0;0;0;Hope;Problem-Solution;None;Community;English;0;1;0;0
DWaZbb-D-L5;Carousel;yes;1;0;1;0;0;0;0;0;0;0;Hope;Solution;Learn;HWC;English;0;1;0;0
DVqo_9BgVKV;Image;yes;1;0;1;1;0;1;0;0;0;0;Hope;Problem-Solution;None;Community;English;0;1;0;0
DWsMJvfjOo5;Video;yes;1;0;1;0;0;0;0;0;0;0;Hope;Problem-Solution;Donate;Wildlife;English;0;1;0;0
