functional_genre,genre_confidence,speech_act,actual_cta,narrative_structure,image_role,image_caption_relation,target_audience,appeal_type,species_mentioned,register_tone,notes,post_id,vq_aesthetic,vq_production_effort,vq_human_presence,vq_people_role,vq_visual_species,vq_colour_mood,vq_on_image_text_amount,missed_visual_flag,missed_visual_why
Community engagement update,high,inform,What are your views on establishing community fisheries reserves?,anecdote,illustrative,adds-info,local-community|general-public|supporters,informational|social-normative,,institutional-formal,"A stakeholder-consultation report from a fisheries/conservation authority: it narrates a specific field meeting with the Kasika Community about a proposed community fisheries reserve, carefully hedging that no formal request is confirmed and consent is uncertain, then closes with a participatory discussion prompt. Not persuasion; the dominant function is transparent process reporting with a light community-voice invitation. The image is a genuine documentary photo of the described engagement, adding setting and human context rather than repeating the text.",DWOp8pRgrY-,competent,medium,group,"fisheries officials and community members in a field consultation, one speaking with an open-hand gesture while others take notes",,"warm midday daylight, earthy bush greens offset by the pink floral patchwork tablecloth",none,False,"The caption's core is the community consultation meeting itself, and the image documents exactly that: officials and community members seated at the field table with papers. The named channels (Malindi, Ntonga) are context, not the showable claim the post is built around."
volunteer thank-you post,high,thank,none,anecdote,illustrative,adds-info,"supporters, donors, general-public","emotional, informational",,warm-personal,"This is a community-health/clinic organisation (Lifeline Clinic, Epukiro), not a wildlife conservation actor. Content is a candid documentary snapshot of a Neonatal Life Support training, framed as gratitude toward visiting UK volunteers plus a community-impact message ('strengthens an entire community's ability to care...'). No conservation or species content at all. The 'baby' in frame is a CPR/resuscitation doll, not a live subject. Foreground red-nailed hand and off-kilter framing mark it as an unstaged phone photo.",DWnyV1Wls37,amateur,low,group,healthcare workers/doctors demonstrating neonatal bag-valve-mask resuscitation on an infant training manikin; a second staffer on the phone in the background,,"clinical blues, flat everyday lighting, muted",none,False,The caption's specific claim (UK doctors leading NLS training for local staff) is exactly what the photo documents: a demonstration of bag-valve-mask resuscitation on an infant manikin. Image and text align.
awareness-day event coverage,high,commemorate,none,none,illustrative,adds-info,general-public|supporters,informational|social-normative,,institutional-formal,"Frame from event footage (likely a Reel) documenting a corporate/NGO Earth Day tree-planting commemoration in Windhoek with Standard Bank Namibia. Function is institutional event/PR coverage and awareness-marking rather than persuasion; no call to action. Image is candid documentary reportage that genuinely adds information (setting, participants, the planting act) beyond the text. No fauna present; 'species' here is vegetation only. Register is formal-institutional with an official quoted on climate/biodiversity benefits of trees.",DXcTP6pCFgr,competent,medium,group,Executive Director and Standard Bank executives/officials planting a tree seedling at the event,tree seedling,"bright natural daylight, warm earth tones with green foliage",none,False,"The caption's central claim is the act of tree planting at an Earth Day event, and the image directly depicts officials planting a seedling. The only specific number ('five' seedlings donated) is a minor detail; the image faithfully shows the reported action, so no showable claim is ignored."
Independence Day greeting,high,commemorate,none,milestone,symbolic,adds-info,general-public|local-community|supporters,identity|emotional,,reverent,"Branded national-holiday greeting from the Environmental Investment Fund of Namibia (logo top). Central device is a collage cut into the silhouette of Namibia's map, its panels filled with national/development imagery (solar array shaped as the flag sun, wind turbines, a dry cracked lakebed with dead trees, agriculture, red craft textiles, cultural celebrants) and overlaid with the Namibian flag's colours. On-image text carries the full celebratory message plus large '36 YEARS OF INDEPENDENCE' lock-up; caption is a short echo. This is commemoration/patriotic branding rather than persuasion or conservation messaging, though renewable-energy and drought imagery softly nods to the org's environmental remit. Minor spelling error in the graphic ('Happy Indepedence Day'). No wildlife visible despite the conservation-org sender.",DWIac_JiEFz,professional,high,group,Namibian community members shown across collage panels — a young farmer/worker standing with arms crossed in a field and a group of traditionally dressed cultural celebrants,,"muted national-flag palette (blue, red, green, gold sun) overlaid on desaturated photos against a warm cream paper background",moderate,False,"The caption makes no specific showable claim (no number, place, or before/after); the image already visualises unity, pride, and Namibian identity richly, so nothing concrete is ignored."
awareness-day tribute,high,commemorate,Let us celebrate the global team of people that make weather information happen,explainer/list,illustrative,adds-info,general-public|supporters,informational|emotional|social-normative,,warm-personal,"Commemorative post for World Meteorological Day. Function is to mark the UN awareness day and thank/honour the broad community of observers, forecasters and scientists behind weather data, closing with a soft collective invitation to celebrate them. Not persuasion or conservation appeal in the framing sense; species-irrelevant. Image is a silhouetted weather-station mast with guy-wires against a sunburst, symbolically and illustratively reinforcing the meteorology theme without repeating the text verbatim.",DWOMpv0ipjl,competent,medium,none,no people visible; the post honours meteorological workers verbally but shows only equipment,,bright high-contrast: golden dry grassland under clear blue sky with a strong central sunburst flare,none,False,"The caption honours many types of weather professionals but makes no specific showable number, place, or before/after claim; the image of an actual weather-monitoring mast is an apt, on-topic illustration."
awareness-day observance,high,commemorate,Do better!,explainer/list,illustrative,adds-info,general-public|youth|local-community,informational|emotional,,institutional-formal,"Composite designed graphic marking World Climate Day for NYCE (Namibian Youth Chamber of Environment) under the NCE umbrella. Left third is a headline plus a paragraph that essentially reproduces the caption; right side stacks three impact photos (parched cropland with dead maize, a plastic-strewn dump with goats and a foraging chicken, a flooded corrugated-iron settlement). Function is awareness/commemoration with an informational payload, not conservation persuasion; the closing 'Do better!' is a vague exhortation rather than a concrete, actionable ask. No wildlife/conservation species involved; visible animals are livestock/domestic fowl at the dumpsite.",DWV5l8TCp7a,professional,high,none,none,goats; chicken,"earthy documentary photos against a dark forest-green panel with orange accent type; sober, sombre",text-dominant,False,"The caption makes only general claims about climate impacts (water, heat, food, waste); the three photos concretely illustrate those impacts (drought-killed maize, a waste dump, a flooded settlement), so no specific showable claim is ignored."
awareness day mobilisation,high,invite,Give one hour back to the planet. Plant. Restore. Learn. Protect.,none,symbolic,adds-info,general-public,"emotional,identity,social-normative",,warm-personal,"This is a video still (note the subtitle bar at bottom reading 'just a symbolic movement.' and the black letterbox crop), reposted or adapted from @WWF global content. The aerial drone shot shows a large crowd arranged into a shape on bare ground — likely the WWF '60' or infinity symbol for Earth Hour. The image does not illustrate Namibian wildlife or landscape; its communicative work is to signal mass global participation and collective identity ('Africa joins millions'). The post functions as an awareness-day call-to-action for Earth Hour, asking followers to participate in one of four generic actions (plant, restore, learn, protect) rather than a specific programme. No species, no conservation data, no local specificity — purely campaign mobilisation.",DWbxil5DMTW,professional,high,crowd,"participants forming a symbolic shape (infinity/number 60) visible only from aerial drone perspective — individuals indistinguishable, crowd functions as graphic element",,earthy brown ground with vivid crowd colours; high-contrast white bold typography; yellow subtitle bar — energetic and campaign-ready,moderate,False,"Caption makes no specific showable claim (no numbers, locations, or before/after); the symbolic aerial image of a crowd forming a shape appropriately reinforces collective-action framing."
awareness day commemoration,high,commemorate,none,showcase,text-carrier,adds-info,"general-public, supporters","emotional, aesthetic, identity",,institutional-formal,"Classic awareness-day collage by Namibia Nature Foundation. Nine panel grid of high-quality wildlife and landscape photos (rhino, turtle, springbok, fur seals, humpback whales, Welwitschia, aerial coastal island, river delta, crop/conservation field) centred on a stylised Earth Day 2026 globe badge. The post marks the occasion and signals organisational identity rather than requesting any action. No caption was provided, so the image carries the full communicative load. The NNF logo watermark bottom-right anchors attribution.",DXbe6nYCnwx,competent,medium,none,absent,black rhinoceros; sea turtle; springbok; Cape fur seal; humpback whale; Welwitschia mirabilis,warm ochre and teal — arid desert tones contrasted with coastal blue-green,moderate,False,No caption makes a specific showable claim; the image itself is the message — a visual showcase of Namibian biodiversity framed by the Earth Day 2026 badge.
awareness day greeting,high,commemorate,none,none,text-carrier,repeats,general-public,identity|emotional,,warm-personal,"This is a standard awareness-day greeting graphic produced by Gobabeb Namib Research Institute. The composition is a branded template: large display type, the 2024 Earth Day slogan 'Our Power, Our Earth', a clip-art globe-in-hand illustration, decorative leaf motifs, and a small inset photograph of a group visiting solar panels. The caption ('Happy Earth Day') is fully absorbed by the on-image text, so caption and image repeat each other. No wildlife species appear. No call to action is present. The primary function is institutional self-identification with a global awareness calendar date rather than persuasion, information transfer, or fundraising.",DXbynlCjsnU,competent,medium,group,"Students or community members visiting Gobabeb's solar panel installation, used as supporting evidence of the organisation's sustainability work.",,"bright, clean whites with teal and green accents; cheerful and optimistic",text-dominant,False,"Caption makes no specific showable claim beyond the greeting; the embedded photo of students at solar panels is a reasonable illustrative choice for the 2024 Earth Day theme 'Our Power, Our Earth'."
awareness day commemoration,high,commemorate,How are you using your power for the planet today?,showcase,illustrative,repeats,"general-public, supporters","emotional, aesthetic",giraffe,warm-personal,"Image credited to @felixrome_ via @governorscampcollection, a luxury safari brand associated with East African (Kenya/Tanzania) camps, not Namibia; the coat pattern and open-savanna landscape are consistent with Masai giraffe, not the Angolan giraffe subspecies found in Namibia. The post performs a dual-commemoration function: anchoring to Earth Day's official 2024 theme ('Our Power, Our Planet') while seeding a countdown to World Giraffe Day on 21 June. The closing question is an organic engagement prompt rather than a hard CTA (no link, no donation ask, no sign-up). No on-image text; the photograph carries purely aesthetic and emotional weight.",DXceVTokb5e,professional,high,none,no humans in frame,Masai giraffe,warm golden-ochre on the giraffe against a soft blue-grey sky and blurred green savanna; light and airy,none,False,"Caption makes no specific showable claim (no population figure, no location, no before/after) that the image omits; a giraffe in motion adequately illustrates the theme."
conservation milestone showcase,high,inform,none,milestone,illustrative,repeats,tourists|general-public|supporters,emotional|aesthetic|identity,"mammals (generic, 100+ species)",institutional-formal,Post functions as a heritage/milestone narrative celebrating Ongava's 30-year conservation record. The herd of elephants (adults plus calves) is atmospherically shot and emotionally resonant but illustrates only one of the reserve's claimed 100+ mammal species. No CTA is present; the post reads as brand-building or destination prestige content rather than a campaign or appeal.,DQn6pZKjmE6,professional,medium,none,n/a,African elephant,"muted earth tones — dry golden grass, grey-brown dust, overcast sky; subdued and naturalistic",none,True,"Caption claims '100 known species of mammals' — a striking, verifiable number — yet the image shows only one species (elephant). A species-diversity collage, a count graphic, or even a second frame with different mammals would substantiate the claim visually. The 'once-barren realm' transformation claim is also unillustrated."
destination experience promotion,high,invite,Ready to join the adventure? Contact us at info@ehranamibia.org,showcase,illustrative,adds-info,tourists,emotional|aesthetic,elephant,warm-personal,"Account email (ehranamibia.org) identifies this as EHRA Namibia (Elephant-Human Relations Aid). The post is a soft tourism solicitation: evocative sensory copy builds experiential desire then converts it with a direct contact CTA. The image is a vertical video still (credited @C0674) showing a person — likely a tracker or guide — crouching to indicate what appear to be elephant footprints in red sand, which directly illustrates the caption line 'tracks of elephants long gone' and adds experiential context (human-guided tracking moment) not explicit in the text. No live animal is visible. The caption's headline sensory promise ('wrinkles of a trunk') remains unillustrated, and neither sunset nor lush grass — also evoked — appear in the frame.",DRmBxuCjPTR,competent,medium,one-person,"guide or tracker crouching to point at elephant tracks in sand; only partial body visible (arm, hand, lower torso) — experiential demonstrator, not portrait subject",,warm earthy reds and deep ochres; harsh directional sunlight on Kalahari-type red sand,none,True,"The caption's most specific sensory claim is 'wrinkles of a trunk' — a showable elephant close-up — but no elephant appears in the frame; only sand tracks are present, leaving the headline promise unillustrated."
wildlife lodge showcase,high,promote,none,anecdote,illustrative,adds-info,tourists,aesthetic|emotional,leopard,warm-personal,"The post functions primarily as destination/lodge promotion for Harnas Guest Farm and Wildlife Sanctuary, using an anthropomorphised, light-hearted anecdote ('scrumptious meal', 'leisurely stroll', 'well-deserved nap') to frame a high-quality close-encounter photograph. There is no conservation argument, no data, and no explicit ask — the brand impression is the entire communicative payload. The leopard's tongue-out pose is a rare behavioural capture that elevates the image beyond standard wildlife documentation and directly supports the aspirational tourism appeal.",DSW2mrgjs6h,professional,high,none,none,leopard,warm golden-brown bush tones with patches of green foliage; dappled natural light,none,False,The caption's central claim — a leopard licking its lips post-meal — is exactly what the image shows; the tongue-out moment is captured and the bush setting matches the narrative.
conservation operations showcase,high,inform,none,showcase,illustrative,adds-info,general-public|supporters|donors,emotional|informational,rhino; African wild dog,warm-personal,"The image depicts an APU K9 handler and his dog mid-exercise on a purpose-built agility/obstacle course in arid Namibian bush — this is operational capacity documentation, not a wildlife encounter. The caption leans on emotive framing ('every day without poaching is a victory', 'keeping hope alive') but issues no concrete ask. The gap between the claimed subjects (rhinos, wild dogs) and the visible subjects (ranger, K9) is a genuine missed visual opportunity rather than a mismatch — the image shows the means (the unit) but not the end (the species being protected).",DU-OQhPjn88,professional,high,one-person,"anti-poaching ranger in camouflage uniform running during K9 agility training exercise, photographed from behind","domestic/working dog (K9 training dog, likely Belgian Malinois or German Shepherd)","warm golden savanna light, dusty earth tones, high-contrast midday sun with expansive sky",none,True,"Caption specifically names rhinos and wild dogs as the protected species, but neither appears in the image; showing either would have made the protection stakes concrete and visible."
fundraiser milestone thank-you,high,thank,none,milestone,illustrative,adds-info,"supporters,donors","emotional,social-normative,identity",baboon,warm-personal,"The post's core function is a grateful milestone announcement: the fundraiser succeeded, funds are secured, camp revamp is confirmed. The 'thank you' speech act is dominant; there is no new ask. The sign 'Springboard into FREEDOM' in the image adds a campaign label absent from the caption, so the image carries slight additional informational value beyond pure repetition. No baboons are visible, which is a genuine missed opportunity given the caption's focus on their specific welfare circumstances.",DUYx4VLDCYU,competent,medium,group,Volunteers in matching green Harnas t-shirts posing with handmade animal-enrichment items and a painted wooden sign reading 'Springboard into FREEDOM'; they are the subject and evidence of the fundraiser activity.,,"warm earthy tones — khaki, green shirts, terracotta sign, dappled natural light under a corrugated-iron roof",minimal,True,"Caption announces a 13.5-hectare camp revamp and the physical context of baboons in smaller camps due to disability, but no baboons appear in the image — the specific claim about the animals who benefit is entirely absent from the visual, making it harder to connect the fundraising outcome to the animals themselves."
volunteer donor thank-you,high,thank,none,anecdote,illustrative,adds-info,"supporters,donors,general-public","emotional,social-normative",,warm-personal,"Post functions purely as a public thank-you to a named individual volunteer/donor; no wildlife or conservation science content. The branded gate arch ('Conservation Through Innovation / I ♥ N/a'an ku sê Wildlife Conservation') situates the school within the broader foundation identity. Image adds evidentiary value — it shows the actual handover moment — but was taken casually (group snapshot), hence 'competent' rather than 'professional'. No species present in image or caption; this is the foundation's community/education programme, not its wildlife work.",DV6hPrUj1sO,competent,medium,crowd,"Children in school uniform hold donated stationery; two adult women (one likely Marloes, one a staff member in N/a'an ku sê green shirt) stand behind them — recipients and donor together, celebratory pose",,"warm, sunny, vibrant — red school uniforms against sandy orange ground and bright blue sky; colourful donated items add festivity",minimal,False,"The caption makes no specific showable claim (no counts, statistics, or before/after) that the image ignores; the photo of children holding donated supplies directly evidences the described donation event."
brand origin narrative,high,narrate,none,anecdote,illustrative,adds-info,"general-public, supporters, tourists","emotional, identity",,warm-personal,"Post functions as an origin story and holistic mission statement for Naankuse/Harnas, weaving together three pillars (wildlife protection, San cultural preservation, community health via the Lifeline Clinic) through the biographical hook of co-founder Marlice van Vuuren. The image is competent as cultural documentation but creates a visual mismatch: the caption's emotional lead (a child raised among wildlife) is never shown, and the San campfire scene — while evocative — covers only one-third of the caption's claims. No species are named specifically; 'animals' and 'wildlife' remain generic throughout.",DVF8tnJDu1d,professional,high,group,San community members portrayed as cultural subjects gathered around a fire; they illustrate the 'ancient San culture' mention in the caption but are not individually identified,,warm amber-orange firelight against near-total darkness; intimate and atmospheric,none,True,"Caption opens with the specific, showable claim that Marlice van Vuuren grew up among animals at Harnas, yet no animals and no named founder appear in the image. The campfire scene illustrates only the San-culture strand of the caption, leaving the wildlife and personal-biography strands visually unsupported."
lodge atmosphere showcase,high,promote,none,showcase,illustrative,adds-info,tourists,aesthetic|emotional,kudu,warm-personal,"Classic high-end safari lodge content: no conservation argument, no data, no explicit ask. The function is desirability signalling — Ongava positions itself as a place where authentic, unhurried wildlife encounters happen. The caption's reflective, literary register ('privilege arrives softly') targets aspirational leisure travellers rather than donors or researchers. The kudu is female (no horns), browsing on a flowering shrub; the composition — partial concealment by branches, direct gaze — visually enacts the 'stillness and glance' the caption describes, making image and text tightly coherent.",DW0itq8DiiZ,professional,high,none,none,greater kudu (female),"muted green-brown bush tones with punctuating red blossoms; soft natural light, intimate close-up",none,False,"Caption claims a quiet, partial sighting through foliage; the image delivers exactly that — a female kudu mid-browse, partially screened by branches, making direct eye contact. No specific statistic or place claim is left unshown."
nostalgic throwback post,high,narrate,none,anecdote,illustrative,adds-info,"general-public, supporters","emotional, aesthetic",,playful,"A pure nostalgia/humour post built around a vintage black-and-white archival photograph from the Namibian desert. Three donkeys on a cart are towing a 1950s–60s pickup truck via a rope – a literal depiction of animal-powered roadside recovery. The caption supplies the wit; the image supplies the proof. No conservation message, no advocacy frame, no CTA. The donkeys are domestic livestock, not wildlife. The post's function is relationship-building through shared humour and historical identity with the Namibian landscape, not persuasion or information transfer.",DW85lspilIK,competent,low,one-person,"Incidental historical actor seated on the donkey cart; present as part of the archival scene, not foregrounded as a subject.",donkey,"monochrome – high-contrast grey tones, arid desert light, no warmth",none,False,"The image directly and perfectly illustrates the caption's claim: donkeys are visibly towing a broken-down vintage car, making the 'four-legged roadside assistance' punchline self-evident. No specific showable claim is left unillustrated."
wildlife moment share,high,narrate,none,anecdote,illustrative,adds-info,"general-public, supporters","emotional, aesthetic",elephant,warm-personal,"Classic field-moment post: a single elephant picked out against a hazy Namibian mountain ridge, clearly photographed at distance with a telephoto lens. The image is compositionally striking (elephant silhouetted on the skyline) but technically soft due to distance and heat haze, hence 'competent' rather than 'professional'. The caption uses light humour and anthropomorphism to humanise the animal, building affective connection with no conservation ask. The phrase 'experts of the desert' implicitly cues desert-adapted elephant identity without stating it explicitly — a subtle identity/pride appeal for the organisation's geographic niche.",DWYj25RjKBe,competent,medium,none,none,African elephant,warm ochre and dusty blue — arid desert palette with hazy mountain backdrop,none,False,"The caption claims an elephant losing its footing; the image shows an elephant navigating rocky terrain on a ridge, which directly illustrates the moment described. No specific showable claim is left unshown."
seasonal holiday greeting,high,celebrate,none,none,text-carrier,repeats,"general-public, supporters","emotional, aesthetic",lion,playful,"Classic occasion-greeting post using a wildlife photo as a humorous visual hook — the lion's wide-open yawn is reframed as eager anticipation of Easter eggs. On-image text carries the full message ('Me waiting for the Easter eggs / Happy Easter from N/a'an ku sê') with decorative Easter egg illustrations. The collar visible on the lion indicates this is a sanctuary/rescue animal, not a fully wild individual, which is consistent with N/a'an ku sê's rehabilitation mandate. No conservation information is communicated; the sole function is community goodwill and brand visibility around a public holiday.",DWqKBa7j5v4,competent,medium,none,not applicable,lion,warm earthy browns and cream tones with pastel Easter-egg accent colours,moderate,False,The caption makes no specific showable claim; the humorous tone is fully served by the lion yawning with Easter egg graphics overlaid.
